age_int,age_good,age_bad,is_ritto,is_miho,is_front_runner,running_style_enc,course_exp_hanshin,career_g1_wins,has_g1_win,popularity,log_popularity,is_favorite,is_long_shot,jockey_continued,prev_grade_enc,prev_finish,prev_top3,track_enc,is_heavy,good_run_count,elimination_level,rule_v5_score,is_eliminated,favorite_x_good,age_x_ritto,is_top3,is_top5,is_winner,year,horse_name,finish_int
5,1,0,1,0,1,1,0,5,1,1,0.6931471805599453,1,0,1,3,1,1,0,0,5,0,5,0,5,1,1,1,1,2017,キタサンブラック,1
6,0,0,1,0,0,2,1,0,0,7,2.0794415416798357,0,0,1,2,3,1,0,0,2,1,0,0,0,0,1,1,0,2017,ステファノス,2
5,1,0,1,0,1,1,1,0,0,3,1.3862943611198906,1,0,1,2,1,1,0,0,4,0,4,0,4,1,1,1,0,2017,ヤマカツエース,3
4,1,0,1,0,0,2,0,1,1,2,1.0986122886681098,1,0,0,3,4,0,0,0,4,0,4,0,4,1,0,1,0,2017,マカヒキ,4
5,1,0,1,0,0,2,0,0,0,5,1.791759469228055,0,0,1,2,2,1,0,0,4,0,4,0,0,1,0,1,0,2017,アンビシャス,5
5,1,0,1,0,0,2,0,1,1,4,1.6094379124341003,0,0,1,3,2,1,0,0,4,0,4,0,0,1,0,0,0,2017,リアルスティール,6
5,1,0,0,1,0,2,0,1,1,6,1.9459101490553132,0,0,1,3,3,1,0,0,2,1,0,0,0,0,0,0,0,2017,サトノクラウン,7
7,0,1,1,0,0,2,1,0,0,11,2.4849066497880004,0,1,0,1,5,0,0,0,0,3,-6,1,0,0,0,0,0,2017,ヒストリカル,8
4,1,0,1,0,0,2,0,0,0,2,1.0986122886681098,1,0,1,2,1,1,0,0,4,0,4,0,4,1,1,1,1,2018,スワーヴリチャード,1
4,1,0,1,0,0,2,1,1,1,5,1.791759469228055,0,0,1,3,3,1,0,0,4,0,4,0,0,1,1,1,0,2018,ペルシアンナイト,2
4,1,0,1,0,1,1,0,1,1,3,1.3862943611198906,1,0,1,3,2,1,0,0,5,0,5,0,5,1,1,1,0,2018,アルアイン,3
6,0,0,1,0,1,1,1,0,0,7,2.0794415416798357,0,0,1,2,2,1,0,0,2,1,0,0,0,0,0,1,0,2018,ヤマカツエース,4
4,1,0,0,1,0,2,0,0,0,6,1.9459101490553132,0,0,1,2,1,1,0,0,2,1,0,0,0,0,0,1,0,2018,ミッキースワロー,5
5,1,0,1,0,0,2,0,1,1,4,1.6094379124341003,0,0,0,3,8,0,0,0,3,0,3,0,0,1,0,0,0,2018,マカヒキ,6
5,1,0,1,0,0,2,0,2,1,1,0.6931471805599453,1,0,0,3,5,0,0,0,3,0,3,0,3,1,0,0,0,2018,サトノダイヤモンド,7
4,1,0,1,0,1,1,0,0,0,8,2.1972245773362196,0,1,1,2,2,1,0,0,3,0,3,0,0,1,0,0,0,2018,ダンビュライト,8
5,1,0,1,0,1,1,0,1,1,4,1.6094379124341003,0,0,1,3,4,0,0,0,4,0,4,0,0,1,1,1,1,2019,アルアイン,1
5,1,0,1,0,1,0,0,0,0,3,1.3862943611198906,1,0,0,3,4,0,0,0,4,0,4,0,4,1,1,1,0,2019,キセキ,2
4,1,0,1,0,0,2,0,1,1,1,0.6931471805599453,1,0,1,3,1,1,0,0,5,0,5,0,5,1,1,1,0,2019,ワグネリアン,3
6,0,0,1,0,0,2,0,1,1,6,1.9459101490553132,0,0,0,2,5,0,0,0,2,1,0,0,0,0,0,1,0,2019,マカヒキ,4
5,1,0,1,0,1,1,0,0,0,5,1.791759469228055,0,0,1,2,2,1,0,0,4,0,4,0,0,1,0,1,0,2019,エアウィンザー,5
4,1,0,1,0,1,1,0,1,1,2,1.0986122886681098,1,0,0,3,3,1,0,0,4,0,4,0,4,1,0,0,0,2019,エポカドーロ,6
5,1,0,1,0,0,2,0,0,0,7,2.0794415416798357,0,0,0,3,8,0,0,0,3,0,3,0,0,1,0,0,0,2019,スワーヴリチャード,7
4,1,0,0,1,0,2,0,1,1,8,2.1972245773362196,0,1,1,3,6,0,0,0,2,1,0,0,0,0,0,0,0,2019,ブラストワンピース,8
5,1,0,1,0,1,1,0,2,1,1,0.6931471805599453,1,0,1,3,1,1,0,0,5,0,5,0,5,1,1,1,1,2020,ラッキーライラック,1
4,1,0,1,0,0,2,0,1,1,2,1.0986122886681098,1,0,1,3,2,1,0,0,5,0,5,0,5,1,1,1,0,2020,クロノジェネシス,2
4,1,0,0,1,0,2,0,0,0,1,0.6931471805599453,1,0,1,2,1,1,0,0,2,1,0,0,2,0,1,1,0,2020,ダノンキングリー,3
6,0,0,1,0,1,1,1,0,0,9,2.302585092994046,0,1,1,1,2,1,0,0,2,1,0,0,0,0,0,1,0,2020,カデナ,4
5,1,0,1,0,0,2,0,1,1,5,1.791759469228055,0,0,0,3,7,0,0,0,3,0,3,0,0,1,0,1,0,2020,ワグネリアン,5
5,1,0,0,1,0,2,0,1,1,3,1.3862943611198906,1,0,1,3,3,1,0,0,2,1,0,0,2,0,0,0,0,2020,ブラストワンピース,6
5,1,0,1,0,1,1,0,0,0,8,2.1972245773362196,0,1,1,2,4,0,0,0,3,0,3,0,0,1,0,0,0,2020,ジナンボー,7
4,1,0,1,0,1,0,0,0,0,3,1.3862943611198906,1,0,1,2,1,1,2,1,5,0,5,0,5,1,1,1,1,2021,レイパパレ,1
5,1,0,1,0,0,2,1,0,0,8,2.1972245773362196,0,1,1,2,3,1,2,1,3,0,3,0,0,1,1,1,0,2021,モズベッロ,2
4,1,0,1,0,0,2,0,2,1,1,0.6931471805599453,1,0,1,3,1,1,2,1,5,0,5,0,5,1,1,1,0,2021,コントレイル,3
4,1,0,1,0,0,2,0,2,1,2,1.0986122886681098,1,0,1,3,1,1,2,1,5,0,5,0,5,1,0,1,0,2021,グランアレグリア,4
4,1,0,0,1,0,2,0,1,1,4,1.6094379124341003,0,0,1,3,2,1,2,1,2,1,0,0,0,0,0,1,0,2021,サリオス,5
7,0,1,1,0,1,0,0,0,0,6,1.9459101490553132,0,0,0,3,6,0,2,1,0,3,-6,1,0,0,0,0,0,2021,キセキ,6
7,0,1,1,0,1,1,1,0,0,11,2.4849066497880004,0,1,0,1,7,0,2,1,0,3,-6,1,0,0,0,0,0,2021,カデナ,7
5,1,0,1,0,0,2,1,0,0,5,1.791759469228055,0,0,1,2,2,1,0,0,4,0,4,0,0,1,1,1,1,2022,ポタジェ,1
5,1,0,1,0,1,1,1,1,1,3,1.3862943611198906,1,0,1,3,4,0,0,0,4,0,4,0,4,1,1,1,0,2022,レイパパレ,2
4,1,0,1,0,0,2,0,0,0,8,2.1972245773362196,0,1,1,2,3,1,0,0,4,0,4,0,0,1,1,1,0,2022,アリーヴォ,3
6,0,0,0,1,0,2,0,0,0,4,1.6094379124341003,0,0,1,3,2,1,0,0,1,2,-3,1,0,0,0,1,0,2022,ヒシイグアス,4
4,1,0,1,0,1,0,0,0,0,2,1.0986122886681098,1,0,1,2,1,1,0,0,5,0,5,0,5,1,0,1,0,2022,ジャックドール,5
5,1,0,1,0,1,1,0,0,0,12,2.5649493574615367,0,1,0,1,3,1,0,0,3,0,3,0,0,1,0,0,0,2022,スズカエンポリアム,6
5,1,0,1,0,0,2,0,1,1,9,2.302585092994046,0,1,1,3,5,0,0,0,3,0,3,0,0,1,0,0,0,2022,アカイイト,7
4,1,0,0,1,0,2,0,1,1,1,0.6931471805599453,1,0,0,3,3,1,0,0,2,1,0,0,2,0,0,0,0,2022,シュネルマイスター,8
5,1,0,1,0,1,0,0,0,0,2,1.0986122886681098,1,0,1,2,2,1,0,0,4,0,4,0,4,1,1,1,1,2023,ジャックドール,1
4,1,0,0,1,0,2,0,2,1,1,0.6931471805599453,1,0,1,3,2,1,0,0,2,1,0,0,2,0,1,1,0,2023,スターズオンアース,2
5,1,0,1,0,0,2,1,0,0,7,2.0794415416798357,0,0,1,2,3,1,0,0,3,0,3,0,0,1,1,1,0,2023,ダノンザキッド,3
4,1,0,1,0,0,2,1,0,0,9,2.302585092994046,0,1,1,2,2,1,0,0,3,0,3,0,0,1,0,1,0,2023,マテンロウレオ,4
5,1,0,1,0,0,2,1,0,0,10,2.3978952727983707,0,1,1,2,4,0,0,0,3,0,3,0,0,1,0,1,0,2023,マリアエレーナ,5
5,1,0,1,0,1,0,0,0,0,11,2.4849066497880004,0,1,0,2,5,0,0,0,3,0,3,0,0,1,0,0,0,2023,ノースブリッジ,6
7,0,1,0,1,0,2,0,0,0,5,1.791759469228055,0,0,1,3,6,0,0,0,0,3,-6,1,0,0,0,0,0,2023,ヒシイグアス,7
4,1,0,1,0,1,1,0,0,0,3,1.3862943611198906,1,0,1,2,1,1,0,0,5,0,5,0,5,1,1,1,1,2024,ベラジオオペラ,1
5,1,0,0,1,1,1,0,0,0,2,1.0986122886681098,1,0,1,3,2,1,0,0,2,1,0,0,2,0,1,1,0,2024,ローシャムパーク,2
5,1,0,0,1,0,2,0,0,0,11,2.4849066497880004,0,1,1,2,4,0,0,0,1,1,-1,0,0,0,1,1,0,2024,ルージュエヴァイユ,3
6,0,0,1,0,0,2,0,0,0,9,2.302585092994046,0,1,1,2,5,0,0,0,2,1,0,0,0,0,0,1,0,2024,ステラヴェローチェ,4
5,1,0,0,1,0,2,0,1,1,8,2.1972245773362196,0,1,0,3,5,0,0,0,2,1,0,0,0,0,0,1,0,2024,ジオグリフ,5
4,1,0,0,1,0,2,0,1,1,5,1.791759469228055,0,0,0,3,2,1,0,0,2,1,0,0,0,0,0,0,0,2024,タスティエーラ,6
5,1,0,1,0,1,1,1,0,0,6,1.9459101490553132,0,0,1,2,3,1,0,0,3,0,3,0,0,1,0,0,0,2024,プラダリア,7
5,1,0,1,0,1,1,1,1,1,2,1.0986122886681098,1,0,1,2,2,1,0,0,5,0,5,0,5,1,1,1,1,2025,ベラジオオペラ,1
5,1,0,1,0,0,2,0,0,0,4,1.6094379124341003,0,0,1,2,1,1,0,0,4,0,4,0,0,1,1,1,0,2025,ロードデルレイ,2
7,0,1,1,0,0,2,0,1,1,6,1.9459101490553132,0,0,0,2,3,1,0,0,0,2,-4,1,0,0,1,1,0,2025,ヨーホーレイク,3
4,1,0,1,0,1,1,0,0,0,5,1.791759469228055,0,0,1,2,2,1,0,0,5,0,5,0,0,1,0,1,0,2025,エコロヴァルツ,4
5,1,0,0,1,1,1,0,0,0,7,2.0794415416798357,0,0,1,2,3,1,0,0,2,1,0,0,0,0,0,1,0,2025,ホウオウビスケッツ,5
5,1,0,0,1,0,2,0,1,1,1,0.6931471805599453,1,0,0,3,3,1,0,0,2,1,0,0,2,0,0,0,0,2025,ソールオリエンス,6
6,0,0,1,0,1,1,0,0,0,10,2.3978952727983707,0,1,0,2,7,0,0,0,2,1,0,0,0,0,0,0,0,2025,シュトルーヴェ,7
