year,race_name,grade,course,distance,track_condition,finish,horse_name,age,sex,affiliation,running_style,popularity,jockey_continued,prev_grade,prev_finish,course_exp_hanshin,career_g1_wins,good_run_count,elimination_level,is_top3,is_top5
2017,大阪杯,G1,阪神,2000,良,1,キタサンブラック,5,牡,栗東,先行,1,1,G1,1,0,5,5,0,1,1
2017,大阪杯,G1,阪神,2000,良,2,ステファノス,6,牡,栗東,差し,7,1,G2,3,1,0,2,1,0,1
2017,大阪杯,G1,阪神,2000,良,3,ヤマカツエース,5,牡,栗東,先行,3,1,G2,1,1,0,4,0,1,1
2017,大阪杯,G1,阪神,2000,良,4,マカヒキ,4,牡,栗東,差し,2,0,G1,4,0,1,4,0,0,1
2017,大阪杯,G1,阪神,2000,良,5,アンビシャス,5,牡,栗東,差し,5,1,G2,2,0,0,4,0,0,1
2017,大阪杯,G1,阪神,2000,良,6,リアルスティール,5,牡,栗東,差し,4,1,G1,2,0,1,4,0,0,0
2017,大阪杯,G1,阪神,2000,良,7,サトノクラウン,5,牡,美浦,差し,6,1,G1,3,0,1,2,1,0,0
2017,大阪杯,G1,阪神,2000,良,8,ヒストリカル,7,牡,栗東,差し,11,0,G3,5,1,0,0,3,0,0
2018,大阪杯,G1,阪神,2000,良,1,スワーヴリチャード,4,牡,栗東,差し,2,1,G2,1,0,0,4,0,1,1
2018,大阪杯,G1,阪神,2000,良,2,ペルシアンナイト,4,牡,栗東,差し,5,1,G1,3,1,1,4,0,1,1
2018,大阪杯,G1,阪神,2000,良,3,アルアイン,4,牡,栗東,先行,3,1,G1,2,0,1,5,0,1,1
2018,大阪杯,G1,阪神,2000,良,4,ヤマカツエース,6,牡,栗東,先行,7,1,G2,2,1,0,2,1,0,1
2018,大阪杯,G1,阪神,2000,良,5,ミッキースワロー,4,牡,美浦,差し,6,1,G2,1,0,0,2,1,0,1
2018,大阪杯,G1,阪神,2000,良,6,マカヒキ,5,牡,栗東,差し,4,0,G1,8,0,1,3,0,0,0
2018,大阪杯,G1,阪神,2000,良,7,サトノダイヤモンド,5,牡,栗東,差し,1,0,G1,5,0,2,3,0,0,0
2018,大阪杯,G1,阪神,2000,良,8,ダンビュライト,4,牡,栗東,先行,8,1,G2,2,0,0,3,0,0,0
2019,大阪杯,G1,阪神,2000,良,1,アルアイン,5,牡,栗東,先行,4,1,G1,4,0,1,4,0,1,1
2019,大阪杯,G1,阪神,2000,良,2,キセキ,5,牡,栗東,逃げ,3,0,G1,4,0,0,4,0,1,1
2019,大阪杯,G1,阪神,2000,良,3,ワグネリアン,4,牡,栗東,差し,1,1,G1,1,0,1,5,0,1,1
2019,大阪杯,G1,阪神,2000,良,4,マカヒキ,6,牡,栗東,差し,6,0,G2,5,0,1,2,1,0,1
2019,大阪杯,G1,阪神,2000,良,5,エアウィンザー,5,牡,栗東,先行,5,1,G2,2,0,0,4,0,0,1
2019,大阪杯,G1,阪神,2000,良,6,エポカドーロ,4,牡,栗東,先行,2,0,G1,3,0,1,4,0,0,0
2019,大阪杯,G1,阪神,2000,良,7,スワーヴリチャード,5,牡,栗東,差し,7,0,G1,8,0,0,3,0,0,0
2019,大阪杯,G1,阪神,2000,良,8,ブラストワンピース,4,牡,美浦,差し,8,1,G1,6,0,1,2,1,0,0
2020,大阪杯,G1,阪神,2000,良,1,ラッキーライラック,5,牝,栗東,先行,1,1,G1,1,0,2,5,0,1,1
2020,大阪杯,G1,阪神,2000,良,2,クロノジェネシス,4,牝,栗東,差し,2,1,G1,2,0,1,5,0,1,1
2020,大阪杯,G1,阪神,2000,良,3,ダノンキングリー,4,牡,美浦,差し,1,1,G2,1,0,0,2,1,1,1
2020,大阪杯,G1,阪神,2000,良,4,カデナ,6,牡,栗東,先行,9,1,G3,2,1,0,2,1,0,1
2020,大阪杯,G1,阪神,2000,良,5,ワグネリアン,5,牡,栗東,差し,5,0,G1,7,0,1,3,0,0,1
2020,大阪杯,G1,阪神,2000,良,6,ブラストワンピース,5,牡,美浦,差し,3,1,G1,3,0,1,2,1,0,0
2020,大阪杯,G1,阪神,2000,良,7,ジナンボー,5,牡,栗東,先行,8,1,G2,4,0,0,3,0,0,0
2021,大阪杯,G1,阪神,2000,重,1,レイパパレ,4,牝,栗東,逃げ,3,1,G2,1,0,0,5,0,1,1
