feature,importance
popularity,117.08039421460558
good_run_count,87.90133679965402
prev_finish,57.71564049763401
jockey_continued,51.721707851509564
course_exp_hanshin,48.12070143211167
rule_v5_score,35.50622367206961
log_popularity,19.465783865074627
is_front_runner,5.652353667130228
favorite_x_good,5.498778687324375
career_g1_wins,5.019080304307863
running_style_enc,4.765100045362487
is_favorite,3.7543370351195335
prev_top3,3.6097735069924966
age_int,3.5589379380253376
prev_grade_enc,3.0011465794814285
has_g1_win,1.970623288769275
is_long_shot,1.7578270137310028
is_ritto,0.7590048089623451
is_miho,0.5596116818487644
elimination_level,0.4215460866689682
age_x_ritto,0.0829337015748024
age_good,0.06494030356407166
age_bad,0.0
is_heavy,0.0
track_enc,0.0
is_eliminated,0.0
